ccdc_id,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
GAKKOS04,3.348900,33.379200,46.665000,79.202400,676.000000,1092.000000,1560.000000,3328.000000,10.000000,18.000000,96.000000,192.000000,204.000000,1.562500,5.625000,9.625000,15.200000,267.211900,610.928400,1252.816400,1597.224000,3026.000000,5568.000000,9294.000000,13608.000000,43.000000,96.000000,190.000000,252.000000,286.000000,788.000000,1348.000000,1640.000000,21.670900,54.739600,98.383400,127.274000,-7.260000,-7.200000,-10.340000,114.000000,200.000000,340.000000,20.000000,28.000000,74.000000,3.000000,4.800000,10.340000
GAKKOS05,3.348900,33.379200,46.665000,79.202400,676.000000,1092.000000,1560.000000,3328.000000,10.000000,18.000000,96.000000,192.000000,204.000000,1.562500,5.625000,9.625000,15.200000,267.211900,610.928400,1252.816400,1597.224000,3026.000000,5568.000000,9294.000000,13608.000000,43.000000,96.000000,190.000000,252.000000,286.000000,788.000000,1348.000000,1640.000000,21.670900,54.739600,98.383400,127.274000,-7.260000,-7.200000,-10.340000,114.000000,200.000000,340.000000,20.000000,28.000000,74.000000,3.000000,4.800000,10.340000
GAPSIA,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,325.939900,798.795200,1533.710400,2146.815200,1976.000000,5288.000000,9766.000000,11808.000000,51.000000,120.000000,222.000000,316.000000,342.000000,972.000000,1782.000000,2316.000000,22.695500,63.459200,115.982200,154.144400,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
GAPSOG,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,325.939900,798.795200,1533.710400,2146.815200,1976.000000,5288.000000,9766.000000,11808.000000,51.000000,120.000000,222.000000,316.000000,342.000000,972.000000,1782.000000,2316.000000,22.695500,63.459200,115.982200,154.144400,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
GAPSUM,3.348900,33.379200,59.584800,74.664000,676.000000,1092.000000,1976.000000,2496.000000,12.000000,16.000000,108.000000,216.000000,288.000000,1.562500,5.625000,11.450000,15.400000,559.439900,1342.455200,2414.322400,3355.363200,2856.000000,7496.000000,13070.000000,16704.000000,91.000000,208.000000,366.000000,516.000000,574.000000,1572.000000,2694.000000,3492.000000,39.115500,105.778400,181.583800,238.366000,-7.260000,-10.600000,-11.520000,114.000000,236.000000,320.000000,18.000000,36.000000,48.000000,3.000000,5.840000,7.680000
GAPSUM01,3.348900,33.379200,59.584800,74.664000,676.000000,1092.000000,1976.000000,2496.000000,12.000000,16.000000,108.000000,216.000000,288.000000,1.562500,5.625000,11.450000,15.400000,559.439900,1342.455200,2414.322400,3355.363200,2856.000000,7496.000000,13070.000000,16704.000000,91.000000,208.000000,366.000000,516.000000,574.000000,1572.000000,2694.000000,3492.000000,39.115500,105.778400,181.583800,238.366000,-7.260000,-10.600000,-11.520000,114.000000,236.000000,320.000000,18.000000,36.000000,48.000000,3.000000,5.840000,7.680000
GAPTAT,3.348900,33.379200,59.584800,74.664000,676.000000,1092.000000,1976.000000,2496.000000,12.000000,16.000000,108.000000,216.000000,312.000000,1.562500,5.625000,11.450000,15.400000,520.129900,1224.135200,2341.662400,3271.087200,2432.000000,6440.000000,11630.000000,15384.000000,87.000000,192.000000,366.000000,508.000000,558.000000,1524.000000,2574.000000,3444.000000,33.095900,91.364000,162.159800,221.339600,-7.260000,-10.600000,-11.520000,114.000000,236.000000,320.000000,18.000000,36.000000,44.000000,3.000000,5.840000,7.680000
GAPTEX,3.348900,33.379200,59.584800,74.664000,676.000000,1092.000000,1976.000000,2496.000000,12.000000,16.000000,108.000000,216.000000,288.000000,1.562500,5.625000,11.450000,15.400000,576.078700,1292.883200,2406.947200,3159.352800,2936.000000,7208.000000,12638.000000,16368.000000,87.000000,192.000000,350.000000,460.000000,542.000000,1444.000000,2350.000000,3036.000000,36.263900,95.552800,163.441400,213.541200,-7.260000,-10.600000,-11.520000,114.000000,236.000000,320.000000,18.000000,36.000000,48.000000,3.000000,5.840000,7.680000
GAPTIB,3.348900,33.379200,59.584800,74.664000,676.000000,1092.000000,1976.000000,2496.000000,12.000000,16.000000,108.000000,216.000000,312.000000,1.562500,5.625000,11.450000,15.400000,438.004300,1026.415200,1913.986400,2646.676000,2384.000000,6072.000000,10950.000000,14512.000000,67.000000,152.000000,278.000000,388.000000,430.000000,1188.000000,2094.000000,2860.000000,28.293900,77.139200,137.597400,186.537200,-7.260000,-10.600000,-11.520000,114.000000,236.000000,320.000000,18.000000,36.000000,44.000000,3.000000,5.840000,7.680000
GAZQUT,3.348900,33.379200,55.998000,93.000600,676.000000,1092.000000,1872.000000,1794.000000,12.000000,21.000000,108.000000,234.000000,252.000000,1.562500,5.625000,11.550000,14.137500,902.892400,2115.734400,3780.675600,5407.267800,3932.000000,10176.000000,16764.000000,21258.000000,152.000000,336.000000,594.000000,876.000000,930.000000,2514.000000,4182.000000,5658.000000,60.690400,161.954400,271.987800,372.546000,-7.260000,-8.640000,-12.390000,114.000000,240.000000,477.000000,18.000000,33.000000,84.000000,3.000000,5.760000,14.940000
GIVZAN,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,325.939900,797.423200,1511.797600,2131.488000,1976.000000,5248.000000,9662.000000,11800.000000,51.000000,120.000000,222.000000,316.000000,342.000000,972.000000,1782.000000,2316.000000,22.695500,63.523200,116.225400,154.266000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
GIVZER,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,325.939900,797.423200,1511.797600,2131.488000,1976.000000,5248.000000,9662.000000,11800.000000,51.000000,120.000000,222.000000,316.000000,342.000000,972.000000,1782.000000,2316.000000,22.695500,63.523200,116.225400,154.266000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
GIVZIV,3.348900,33.379200,59.584800,72.102000,676.000000,1092.000000,1976.000000,1976.000000,12.000000,16.000000,108.000000,216.000000,240.000000,1.562500,5.625000,11.450000,13.400000,325.939900,797.423200,1511.797600,2131.488000,1976.000000,5248.000000,9662.000000,11800.000000,51.000000,120.000000,222.000000,316.000000,342.000000,972.000000,1782.000000,2316.000000,22.695500,63.523200,116.225400,154.266000,-7.260000,-10.600000,-10.120000,114.000000,236.000000,340.000000,18.000000,36.000000,56.000000,3.000000,5.840000,9.280000
GOGDUB,3.348900,33.379200,55.998000,83.228400,676.000000,1092.000000,1872.000000,2340.000000,12.000000,18.000000,108.000000,216.000000,276.000000,1.562500,5.625000,11.550000,15.275000,414.526700,1004.574400,1866.650800,2758.054800,2316.000000,6124.000000,10894.000000,14796.000000,67.000000,156.000000,282.000000,424.000000,438.000000,1224.000000,2178.000000,3052.000000,29.506700,81.321200,144.669800,205.764000,-7.260000,-8.640000,-12.540000,114.000000,240.000000,378.000000,18.000000,36.000000,62.000000,3.000000,5.760000,10.280000
HAPDOU,3.348900,33.379200,46.665000,64.159800,676.000000,1092.000000,1560.000000,2444.000000,10.000000,14.000000,96.000000,168.000000,204.000000,1.562500,5.625000,9.625000,13.100000,527.088500,1240.115400,2304.010800,3233.963600,3224.000000,7392.000000,12190.000000,17268.000000,85.000000,194.000000,354.000000,504.000000,548.000000,1486.000000,2512.000000,3448.000000,38.278700,100.893400,173.786200,244.582800,-7.260000,-7.200000,-9.440000,114.000000,200.000000,270.000000,20.000000,32.000000,50.000000,3.000000,4.800000,7.020000
