column,hash,SMARTS
Bit68,1991248063,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit69,-1193502455,[#6D2v4+0H1R](:[#7D2v3+0H0R]:[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#7D3v4+1H0R]
Bit70,1395829072,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#7D2v4+1H2R])-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#26D6v6+0H0R]
Bit71,-119467794,[#26D6v6+0H0R](-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v3+0H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v3+0H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit72,-1196099887,[#6D2v4+0H1R](:[#7D3v4+1H0R]):[#7D2v3+0H1R]
Bit73,859640332,[#7D3v4+1H0R](-[#26D6v6+0H0R0](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#8D2v2+0H0R]:[#6D2v4+0H1R]
Bit74,1930028609,[#7D3v4+1H0R](-[#26D6v6+0H0R])(-[#6D3v4+0H1R0])=[#6D2v4+0H1R]
Bit75,-1202599057,[#8D2v2+0H0R0](-[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])-[#6D2v4+0H2R0]-[#6D2v4+0H2R0]
Bit76,977500979,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#7D3v3+0H0R](-[#7D2v3+0H1R0]):[#6D3v4+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D2v3+0H0R]
Bit77,1711877108,[#6D3v4+0H0R](-[#16D2v2+0H0R0])(:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit78,1775454271,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])-[#6D3v4+0H1R](-[#7D3v4+1H1R])-[#6D3v4+0H1R]
