column,hash,SMARTS
Bit746,1008603387,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit747,581222078,[#26D6v6+0H0R](-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](-[#6D3v4+0H0R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](-[#6D3v4+0H0R])=[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit748,1010761289,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v3+0H0R])-[#7D3v3+0H0R])(:[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]
Bit749,54265040,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D4v4+0H0R]):[#7D3v4+1H0R]
Bit750,391349624,[#7D3v3+0H0R](-[#7D2v3+0H0R0]=[#6D2v4+0H1R0])(:[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D2v3+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit751,101499548,[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v3+0H0R0])(-[#7D2v3+0H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R]
Bit752,986520271,[#16D2v2+0H0R0](-[#6D2v4+0H0R0]#[#7D1v3+0H0R0])-[#6D2v4+0H2R0]-[#6D3v4+0H0R]
Bit753,1737814222,[#6D3v4+0H0R](:[#6D2v4+0H1R]:[#6D3v4+0H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit754,79628162,[#7D2v3+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]
Bit755,2052630668,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit756,828674680,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])(:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]):[#7D2v3+0H1R]:[#6D2v4+0H1R]
Bit757,318584828,[#6D2v4+0H1R](:[#7D3v3+0H0R](-[#6D3v4+0H1R]):[#7D3v4+1H0R]):[#6D2v4+0H1R]:[#6D3v4+0H0R]
Bit758,1509398532,[#6D2v4+0H1R](:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]):[#7D2v3+0H1R]:[#6D2v4+0H1R]
Bit759,1845757864,[#7D3v3+0H0R](-[#6D1v4+0H3R0])(:[#7D2v3+0H0R]:[#7D3v4+1H0R]):[#7D2v3+0H0R]:[#6D3v4+0H0R]
Bit760,401661000,[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v4+1H0R0])(-[#7D2v4+1H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R]
Bit761,976395797,[#6D3v4+0H0R](-[#16D2v2+0H0R0]-[#6D2v4+0H0R0])(:[#6D3v4+0H0R](-[#16D2v2+0H0R0]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v3+0H0R]
Bit762,1306073970,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#7D3v3+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit763,28661254,[#6D3v4+0H0R](-[#6D1v4+0H3R0])(:[#7D2v3+0H1R]):[#6D2v4+0H1R]
Bit764,934837773,[#26D6v6+0H0R0](-[#7D3v4+1H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])(-[#7D3v4+1H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])(-[#7D3v4+1H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])(-[#7D3v4+1H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])-[#7D2v3+0H0R0]=[#6D2v4+0H0R0]
Bit765,1711877108,[#6D3v4+0H0R](-[#16D2v2+0H0R0])(:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit766,1960802568,[#6D3v4+0H0R](-[#6D2v4+0H2R0]-[#6D1v4+0H3R0])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#7D3v3+0H0R]):[#6D3v4+0H0R]
Bit767,1660955522,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#7D2v3+0H0R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit768,1055066629,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#7D2v3+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit769,1055710071,[#7D4v4+1H0R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])(-[#6D2v4+0H2R]-[#6D2v4+0H2R])(-[#6D2v4+0H2R]-[#6D3v4+0H0R])-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D4v4+1H0R])(-[#7D4v4+1H0R])-[#7D4v4+1H0R]
Bit770,348704440,[#6D2v4+0H2R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])-[#6D2v4+0H2R]-[#7D4v4+1H0R]
Bit771,590157156,[#5D4v4-1H0R](-[#7D3v3+0H0R])(-[#7D3v3+0H0R])(-[#7D3v3+0H0R])-[#7D3v3+0H0R]
Bit772,986668788,[#6D2v4+0H1R](:[#6D3v4+0H0R](-[#6D2v4+0H2R]):[#7D3v4+1H0R]):[#6D3v4+0H0R](-[#17D1v1+0H0R0]):[#6D2v4+0H1R]
Bit773,706553852,[#8D2v2+0H0R](-[#6D2v4+0H2R]-[#6D4v4+0H0R])-[#6D3v4+0H0R](-[#6D3v4+0H0R])=[#7D3v4+1H0R]
Bit774,285983430,[#6D2v4+0H1R](:[#7D3v4+1H0R](-[#26D6v6+0H0R0]):[#7D2v3+0H0R]):[#7D3v3+0H0R](-[#6D2v4+0H2R0]):[#7D2v3+0H0R]
Bit775,894315312,[#6D3v4+0H0R](:[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])(:[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#7D2v3+0H0R]):[#7D2v3+0H1R]:[#6D3v4+0H0R]
Bit776,1063660364,[#6D3v4+0H0R](-[#7D2v3+0H1R]-[#6D3v4+0H0R])(:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit777,133401407,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#7D3v3+0H0R])(:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]
Bit778,1697631950,[#6D3v4+0H0R](-[#5D4v4-1H0R])(:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit779,1866504608,[#6D3v4+0H0R](-[#7D2v3+0H0R]=[#7D3v4+1H0R])(:[#7D3v3+0H0R](-[#6D2v4+0H2R0]):[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D2v4+0H1R]
Bit780,1626016656,[#6D2v4+0H2R](-[#7D3v4+1H0R](-[#26D6v6+0H0R])=[#6D3v4+0H0R])-[#6D2v4+0H2R]-[#7D3v4+1H1R]
Bit781,875367570,[#26D6v6+0H0R](-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v4+1H0R0]#[#6D2v4+0H0R0])(-[#7D2v4+1H0R0]#[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit782,524017141,[#6D3v4+0H0R](-[#6D3v4+0H0R])(:[#7D2v3+0H0R]):[#6D2v4+0H1R]
Bit783,1083680200,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v3+0H0R0])(-[#7D2v3+0H0R0])-[#7D4v4+1H0R])(:[#6D3v4+0H0R](-[#6D2v4+0H2R]):[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit784,109064239,[#6D3v4+0H0R](-[#6D3v4+0H0R])(-[#8D2v2+0H0R])=[#7D3v4+1H0R]
Bit785,54265040,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D4v4+0H0R]):[#7D3v4+1H0R]
Bit786,74167451,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R]
Bit787,109794124,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]
Bit788,299463395,[#14D4v4+0H0R0]
Bit789,109946772,[#7D2v4+1H2R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])-[#6D2v4+0H2R]-[#6D3v4+0H0R]
Bit790,1099676861,[#7D2v3+0H1R](:[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#7D3v4+1H0R]):[#6D2v4+0H1R]:[#6D3v4+0H0R]
Bit791,1107231935,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v3+0H0R0])(-[#7D2v3+0H0R0])-[#7D4v4+1H0R])(:[#6D3v4+0H0R](-[#6D2v4+0H2R]):[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]
Bit792,633562067,[#6D2v4+0H1R](:[#16D2v2+0H0R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit793,859640332,[#7D3v4+1H0R](-[#26D6v6+0H0R0](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#8D2v2+0H0R]:[#6D2v4+0H1R]
Bit794,1557008866,[#6D3v4+0H0R](:[#6D2v4+0H1R]:[#6D2v4+0H1R])(:[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D3v4+0H0R]):[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit795,486012057,[#6D2v4+0H2R](-[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#6D2v4+0H2R]-[#6D3v4+0H0R]
Bit796,510275471,[#6D3v4+0H0R](:[#6D2v4+0H1R]:[#6D2v4+0H1R])(:[#7D3v3+0H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]):[#6D3v4+0H0R](:[#7D2v3+0H0R]):[#6D2v4+0H1R]
Bit797,754666517,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#7D3v3+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D2v3+0H0R]
Bit798,1488074449,[#6D2v4+0H1R](:[#7D2v3+0H0R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit799,515009274,[#6D3v4+0H0R](-[#6D4v4+0H0R0](-[#6D3v4+0H0R])(-[#6D3v4+0H0R])-[#7D3v3+0H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit800,1133351013,[#7D3v4+1H0R](-[#26D6v6+0H0R])(:[#6D3v4+0H0R]):[#7D2v3+0H1R]
Bit801,951262149,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v3+0H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R])(:[#6D3v4+0H0R](-[#6D2v4+0H2R]):[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit802,1139241550,[#7D2v3+0H1R](-[#6D3v4+0H0R])-[#6D3v4+0H0R]
Bit803,1139320215,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#7D3v3+0H0R]):[#7D3v4+1H0R]
Bit804,583722864,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D2v4+0H1R0]):[#6D2v4+0H1R]
Bit805,1143932406,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit806,986520271,[#16D2v2+0H0R0](-[#6D2v4+0H0R0]#[#7D1v3+0H0R0])-[#6D2v4+0H2R0]-[#6D3v4+0H0R]
Bit807,479762535,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D2v3+0H0R]):[#7D2v3+0H0R]:[#7D3v3+0H0R]
Bit808,498951039,[#35D1v1+0H0R0]-[#6D3v4+0H0R]
Bit809,1626016656,[#6D2v4+0H2R](-[#7D3v4+1H0R](-[#26D6v6+0H0R])=[#6D3v4+0H0R])-[#6D2v4+0H2R]-[#7D3v4+1H1R]
Bit810,1707192517,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit811,1157425152,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#6D3v4+0H0R](-[#6D2v4+0H1R]):[#6D3v4+0H0R]):[#6D2v4+0H1R]:[#7D2v3+0H1R]
Bit812,191434192,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D2v3+0H0R]):[#6D2v4+0H1R])(:[#7D2v3+0H0R]:[#7D3v4+1H0R]):[#7D3v3+0H0R](-[#6D3v4+0H0R]):[#6D3v4+0H0R]
Bit813,116205462,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D2v4+0H1R]):[#7D3v4+1H0R]
Bit814,1166132857,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit815,1930028609,[#7D3v4+1H0R](-[#26D6v6+0H0R])(-[#6D3v4+0H1R0])=[#6D2v4+0H1R]
Bit816,1168070468,[#6D2v4+0H2R](-[#7D3v4+1H0R](-[#26D6v6+0H0R])=[#6D3v4+0H0R])-[#6D2v4+0H2R]-[#16D2v2+0H0R]
Bit817,699097405,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#7D3v3+0H0R])(-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#7D3v3+0H0R])=[#8D1v2+0H0R0]
Bit818,916120393,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#7D2v4+1H2R])-[#7D3v4+1H0R](-[#26D6v6+0H0R])=[#6D3v4+0H0R]
Bit819,2062909615,[#6D2v4+0H2R0](-[#6D2v4+0H2R0])-[#35D1v1+0H0R0]
Bit820,1171165942,[#6D3v4+0H0R](-[#6D3v4+0H0R])(:[#7D3v4+1H0R]):[#7D2v3+0H1R]
Bit821,977500979,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#7D3v3+0H0R](-[#7D2v3+0H1R0]):[#6D3v4+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D2v3+0H0R]
Bit822,486012057,[#6D2v4+0H2R](-[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#6D2v4+0H2R]-[#6D3v4+0H0R]
Bit823,1968766682,[#16D2v2+0H0R](-[#6D3v4+0H0R])-[#6D2v4+0H1R]
Bit824,892592086,[#6D3v4+0H0R](-[#6D2v4+0H0R0])(:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit825,1281254104,[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v4+1H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R]
Bit826,1897099792,[#7D2v3+0H0R](:[#7D2v3+0H0R]:[#7D3v4+1H0R]):[#7D3v3+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]
Bit827,1992988605,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])-[#7D2v3+0H1R]-[#6D3v4+0H0R]
Bit828,436073179,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#16D2v2+0H0R]:[#6D2v4+0H1R]
Bit829,887805242,[#6D3v4+0H1R](-[#7D3v4+1H0R])(-[#6D2v4+0H2R0])-[#6D2v4+0H2R]
Bit830,601753524,[#7D3v4+1H0R](-[#26D6v6+0H0R0](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#6D2v4+0H1R]:[#7D2v3+0H1R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit831,1201071392,[#6D3v4+0H0R](:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#7D3v3+0H0R]
Bit832,699097405,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#7D3v3+0H0R])(-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#7D3v3+0H0R])=[#8D1v2+0H0R0]
Bit833,299463395,[#14D4v4+0H0R0]
Bit834,754666517,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#7D3v3+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D2v3+0H0R]
Bit835,866987023,[#6D2v4+0H0R0](-[#6D3v4+0H0R0])#[#7D1v3+0H0R0]
Bit836,714722353,[#7D3v4+1H0R](-[#6D2v4+0H2R])(-[#26D6v6+0H0R])=[#6D2v4+0H1R]
Bit837,1231375114,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#7D3v4+1H0R])-[#6D2v4+0H2R]-[#16D2v2+0H0R]
Bit838,1233803182,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v3+0H0R])-[#7D3v3+0H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R]
Bit839,792028616,[#6D3v4+0H0R](-[#6D1v4+0H3R0])(:[#7D2v3+0H0R]):[#6D2v4+0H1R]
Bit840,1244007638,[#6D2v4+0H2R0](-[#7D3v3+0H0R](:[#7D2v3+0H0R]):[#6D2v4+0H1R])-[#6D2v4+0H2R0]-[#6D1v4+0H3R0]
Bit841,124465824,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#6D2v4+0H1R]:[#7D3v4+1H0R]
Bit842,978495103,[#6D3v4+0H0R](:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](:[#7D2v3+0H1R]):[#6D2v4+0H1R]
Bit843,1248733796,[#8D1v2+0H1R0]-[#6D3v4+0H0R]
Bit844,54265040,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D4v4+0H0R]):[#7D3v4+1H0R]
Bit845,1711877108,[#6D3v4+0H0R](-[#16D2v2+0H0R0])(:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit846,1260040743,[#7D3v3+0H0R](-[#6D2v4+0H2R])(:[#7D3v4+1H0R]):[#6D2v4+0H1R]
Bit847,780177087,[#7D2v3+0H1R](:[#6D3v4+0H0R]):[#7D2v3+0H0R]
Bit848,391349624,[#7D3v3+0H0R](-[#7D2v3+0H0R0]=[#6D2v4+0H1R0])(:[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D2v3+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit849,715896429,[#6D4v4+0H0R0](-[#5D4v4-1H0R])(-[#6D1v4+0H3R0])(-[#6D1v4+0H3R0])-[#6D1v4+0H3R0]
Bit850,1268179103,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])(:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#7D2v3+0H1R]:[#7D3v4+1H0R]
Bit851,564205442,[#7D4v4+1H0R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])(-[#6D2v4+0H2R]-[#6D2v4+0H2R])(-[#26D6v6+0H0R](-[#7D2v4+1H0R0])(-[#7D2v4+1H0R0])(-[#7D2v4+1H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R])-[#6D1v4+0H3R0]
Bit852,1269595356,[#26D6v6+0H0R](-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit853,1272860421,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]
Bit854,590157156,[#5D4v4-1H0R](-[#7D3v3+0H0R])(-[#7D3v3+0H0R])(-[#7D3v3+0H0R])-[#7D3v3+0H0R]
Bit855,1281254104,[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v4+1H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R]
Bit856,794862962,[#6D2v4+0H2R](-[#6D3v4+0H0R])-[#6D3v4+0H0R]
Bit857,1628854617,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]):[#7D3v3+0H0R](-[#6D1v4+0H3R0]):[#6D3v4+0H0R]
Bit858,1294882428,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v3+0H0R])-[#7D3v3+0H0R])(:[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit859,1851841865,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#7D2v3+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit860,859640332,[#7D3v4+1H0R](-[#26D6v6+0H0R0](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#8D2v2+0H0R]:[#6D2v4+0H1R]
