ccdc_id,smi,Spin-state behaviour,Spin-state of crystal structure,rename_id
HAPDOU,COc1ccc2c(c1c3c(ccc4c3-c5c(cc6ccc7cccnc7c6n5)CC4)OC)-c8c(cc9ccc1cccnc1c9n8)CC2,high-spin,high-spin,lig_150
WAHKEX01,c1ccnc(c1)CCN(Cc2ccccn2)Cc3ccccn3,spin-crossover,high-spin,lig_151
WAHKEX,c1ccnc(c1)CCN(Cc2ccccn2)Cc3ccccn3,spin-crossover,low-spin,lig_151
DOMQUT02,Cc1ccc2ccc3ccc(nc3c2n1)c4[n-]c5ccccc5n4,spin-crossover,high-spin,lig_152
DOMQUT01,Cc1ccc2ccc3ccc(nc3c2n1)c4[n-]c5ccccc5n4,spin-crossover,mixture,lig_152
DOMQUT,Cc1ccc2ccc3ccc(nc3c2n1)c4[n-]c5ccccc5n4,spin-crossover,low-spin,lig_152
QIDJOD,Cn1nc(nn1)c2ccc3ccc4cccnc4c3n2,spin-crossover,low-spin,lig_153
QIDJUJ,Cn1nc(nn1)c2ccc3ccc4cccnc4c3n2,low-spin,low-spin,lig_153
KABYER,Cc1cccnc1c2c(cccn2)C,spin-crossover,mixture,lig_154
TETXAR,Cc1[nH]nc(n1)c2ccc3ccc4cccnc4c3n2,spin-crossover,low-spin,lig_155
PIVFEG,c1nnnn1C2CC2,spin-crossover,high-spin,lig_156
BAXXAB01,c1ccnc(c1)CNCCNCc2ccccn2,spin-crossover,high-spin,lig_157
YUYHOR01,c1ccnc(c1)CNCCNCc2ccccn2,spin-crossover,high-spin,lig_157
YUYHOR,c1ccnc(c1)CNCCNCc2ccccn2,spin-crossover,low-spin,lig_157
NIGXUY01,CC(C)Cn1cnnn1,spin-crossover,high-spin,lig_158
NIGXUY02,CC(C)Cn1cnnn1,spin-crossover,high-spin,lig_158
QUHWAT01,C[N@@](CC[N@](C)Cc1ccccn1)Cc2ccccn2,spin-crossover,mixture,lig_159
QUHWAT02,C[N@@](CC[N@](C)Cc1ccccn1)Cc2ccccn2,high-spin,high-spin,lig_159
KEZPIO01,c1ccnc(c1)CN(CCN(Cc2ccccn2)Cc3ccccn3)Cc4ccccn4,spin-crossover,high-spin,lig_160
KEZPIO,c1ccnc(c1)CN(CCN(Cc2ccccn2)Cc3ccccn3)Cc4ccccn4,spin-crossover,low-spin,lig_160
KEZPEK,c1ccnc(c1)CN(CCN(Cc2ccccn2)Cc3ccccn3)Cc4ccccn4,spin-crossover,low-spin,lig_160
MALJEP,[B-](c1ccc(cc1)I)(n2cccn2)(n3cccn3)n4cccn4,low-spin,low-spin,lig_161
TEKHOI,CC(=NCCN(Cc1ccccn1)Cc2ccccn2)C,high-spin,high-spin,lig_162
OJIVOS,c1ccnc(c1)c2c3ccccn3nn2,low-spin,low-spin,lig_163
OJIVOS,c1ccnc(c1)c2c3ccccn3nn2,low-spin,low-spin,lig_163
HOQFID,[B-](C(C)(C)C)(n1ccc(n1)C)(n2ccc(n2)C)n3ccc(n3)C,spin-crossover,low-spin,lig_164
GAPTEX,CCOC(=O)c1ccn(n1)c2cccc(n2)n3ccc(n3)C(=O)OCC,high-spin,high-spin,lig_165
TEKHAU,Cc1cccc(n1)CN(CCc2ccccn2)Cc3cccc(n3)C,high-spin,high-spin,lig_166
AJAXEP,c1ccnc(c1)C(=C2SC(=C(S2)SCCC#N)SCCC#N)c3ccccn3,spin-crossover,high-spin,lig_167
JAQVIG,c1ccnc(c1)c2cccc(n2)c3nc[nH]n3,spin-crossover,low-spin,lig_168
TUNBIN,CCn1cnnn1,spin-crossover,mixture,lig_169
QOZNOL,c1ccc(cc1)C[C@@H]2COC(=N2)c3cccc(n3)C4=N[C@@H](CO4)Cc5ccccc5,high-spin,high-spin,lig_170
PUBBOD,Cc1csc(n1)c2cccc(n2)c3ccccn3,spin-crossover,low-spin,lig_171
UZAXUQ,c1ccc2c(c1)cccc2/C=N/n3c(nnc3c4ccccn4)c5ccccn5,spin-crossover,high-spin,lig_172
WIDGIA,Cc1cc(n(n1)Cc2cccc(n2)c3cccc(n3)Cn4c(cc(n4)C)C)C,high-spin,high-spin,lig_173
WIDGOG,Cc1cc(n(n1)Cc2cccc(n2)c3cccc(n3)Cn4c(cc(n4)C)C)C,high-spin,high-spin,lig_173
FADVUC,Cc1ccc(cc1)n2c(nnc2c3ccccn3)c4ccccn4,spin-crossover,high-spin,lig_174
COMQUR,c1ccc2c(c1)cccc2C#Cc3ccc(cc3)/N=C/c4ccccn4,spin-crossover,high-spin,lig_175
COMQUR01,c1ccc2c(c1)cccc2C#Cc3ccc(cc3)/N=C/c4ccccn4,spin-crossover,low-spin,lig_175
DULDAS,c1cc(nc(c1)C2=NCCS2)C3=NCCS3,low-spin,low-spin,lig_176
PASDOD01,Cc1[nH]cnc1/C=N/CCN(CC/N=C/c2nc[nH]c2C)CC/N=C/c3nc[nH]c3C,spin-crossover,high-spin,lig_177
PASDOD,Cc1[nH]cnc1/C=N/CCN(CC/N=C/c2nc[nH]c2C)CC/N=C/c3nc[nH]c3C,spin-crossover,high-spin,lig_177
ZOKBOQ,c1cnc([nH]1)Cc2[nH]cc(n2)Cc3c[nH]cn3,spin-crossover,high-spin,lig_178
QERDOH,c1cnc([nH]1)Cc2[nH]cc(n2)Cc3c[nH]cn3,spin-crossover,low-spin,lig_178
QERDIB,c1cnc([nH]1)Cc2[nH]cc(n2)Cc3c[nH]cn3,spin-crossover,high-spin,lig_178
QERDIB01,c1cnc([nH]1)Cc2[nH]cc(n2)Cc3c[nH]cn3,spin-crossover,low-spin,lig_178
QIDLAR,CCCCCCn1nc(nn1)c2ccc3ccc4cccnc4c3n2,low-spin,low-spin,lig_179
QIDLEV,CCCCCCn1nc(nn1)c2ccc3ccc4cccnc4c3n2,low-spin,low-spin,lig_179
YIMYOJ,c1cnn(c1)C(CO)(n2cccn2)n3cccn3,spin-crossover,low-spin,lig_180
DUKJIE,c1cc2c3c(c4cccnc4c2nc1)nc([nH]3)c5ccncc5,high-spin,high-spin,lig_181
MIFRIF,c1cnc(cc1Cl)CNCCNCc2cc(ccn2)Cl,high-spin,high-spin,lig_182
MIFROL01,c1cnc(cc1Cl)CNCCNCc2cc(ccn2)Cl,spin-crossover,high-spin,lig_182
MIFROL,c1cnc(cc1Cl)CNCCNCc2cc(ccn2)Cl,spin-crossover,low-spin,lig_182
MIFSEC,c1cnc(cc1Cl)CNCCNCc2cc(ccn2)Cl,spin-crossover,high-spin,lig_182
MIFSAY,c1cnc(cc1Cl)CNCCNCc2cc(ccn2)Cl,spin-crossover,low-spin,lig_182
VILZEX,c1ccc(cc1)Cn2ccc(n2)c3cccc(n3)c4ccn(n4)Cc5ccccc5,high-spin,high-spin,lig_183
LAYRAF,c1ccnc(c1)c2[nH]ccn2,high-spin,high-spin,lig_184
QUHWAT,C[N@](CC[N@@](C)Cc1ccccn1)Cc2ccccn2,spin-crossover,high-spin,lig_185
RIZSOI,c1ccnc(c1)c2csc(n2)Nc3cnccn3,spin-crossover,low-spin,lig_186
KULTAO04,c1ccc(c(c1)c2[nH]c3c4cccnc4c5c(c3n2)cccn5)C(F)(F)F,spin-crossover,high-spin,lig_187
KULTAO05,c1ccc(c(c1)c2[nH]c3c4cccnc4c5c(c3n2)cccn5)C(F)(F)F,spin-crossover,low-spin,lig_187
FIWXIT,[B-](c1ccc(cc1)C#C[Si](C)(C)C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,spin-crossover,high-spin,lig_188
POGMED,Cc1ccccc1/N=C/c2[nH]ccn2,high-spin,high-spin,lig_189
TEKHUO,CN(C)C(=NCCN(Cc1ccccn1)Cc2ccccn2)N(C)C,high-spin,high-spin,lig_190
VIFNAC,c1nnnn1CCCCl,spin-crossover,high-spin,lig_191
VIFNAC01,c1nnnn1CCCCl,spin-crossover,mixture,lig_191
CATWUS,c1cc2c(nc1)-c3c(cccn3)C2=O,high-spin,high-spin,lig_192
SIXJUE,c1cc(nnc1)c2cccnn2,low-spin,low-spin,lig_193
JAQWAZ,Cc1nc(nn1C)c2cccc(n2)c3ccccn3,spin-crossover,low-spin,lig_194
TEKHIC,CN(C)CCN(Cc1ccccn1)Cc2ccccn2,high-spin,high-spin,lig_195
DOMQED,c1ccc2c(c1)[nH]c(n2)c3ccc4ccc5cccnc5c4n3,low-spin,low-spin,lig_196
WIDGEW,c1cc(nc(c1)c2cccc(n2)Cn3cccn3)Cn4cccn4,spin-crossover,high-spin,lig_197
WIGBAP,c1ccc(cc1)/C=C\c2ccncc2,high-spin,high-spin,lig_198
MEGDEH,C/C(=N\c1ccc(cc1)OC)/c2nc(ccc2)/C(=N/c3ccc(cc3)OC)/C,low-spin,low-spin,lig_199
TEKHEY,Cc1cccc(n1)CN(CCN(C)C)Cc2cccc(n2)C,high-spin,high-spin,lig_200
LARZAF,c1cc(nc(c1)c2nc[nH]n2)c3nc[nH]n3,high-spin,high-spin,lig_201
ULAHIY,c1cnc[nH]1,high-spin,high-spin,lig_202
VASYOF,Cc1ccnc(c1)Nc2cccc(n2)c3cccc(n3)Nc4cc(ccn4)C,high-spin,high-spin,lig_203
FIJTIC,CCn1ccnc1/N=N/c2ccc(cc2)C,high-spin,high-spin,lig_204
VILZOH,Cn1ccc(n1)c2cccc(n2)c3ccn(n3)C,high-spin,high-spin,lig_205
VIMBAW,Cn1ccc(n1)c2cccc(n2)c3ccn(n3)C,high-spin,high-spin,lig_205
ABUGAI,CCn1c2ccccc2nc1c3cccc(n3)c4[n-]c5ccccc5n4,low-spin,low-spin,lig_206
GAPTAT,CC(C)c1ccn(n1)c2cccc(n2)n3ccc(n3)C(C)C,high-spin,high-spin,lig_207
DEVDUD,c1c(ncs1)c2cscn2,spin-crossover,low-spin,lig_208
HMPBFE,[BH-](n1c(cc(n1)C)C)(n2c(cc(n2)C)C)n3c(cc(n3)C)C,spin-crossover,high-spin,lig_209
PAGXAW,Cc1ccc2ccc3ccc(nc3c2n1)C,high-spin,high-spin,lig_210
ZUCROE01,c1cc(=C(C#N)C#N)ccc1=C(C#N)C#N,spin-crossover,mixture,lig_211
ZUCROE,c1cc(=C(C#N)C#N)ccc1=C(C#N)C#N,spin-crossover,low-spin,lig_211
NOZJAN,c1cc\2nc(c1)/C=N/CCN3CC/N=C/c4nc(ccc4)/C=N/CCN(CC/N=C2)CC/N=C/c5nc(ccc5)/C=N/CC3,high-spin,high-spin,lig_212
FIWXEP,[B-](c1ccc(cc1)C#Cc2ccccc2)(n3ccc(n3)C)(n4ccc(n4)C)n5ccc(n5)C,spin-crossover,high-spin,lig_213
KUHRUC,Cc1ccc(nc1)Nc2cccc(n2)c3cccc(n3)Nc4ccc(cn4)C,high-spin,high-spin,lig_214
QALMAR,c1ccnc(c1)c2nc[nH]n2,spin-crossover,high-spin,lig_215
QALMAR01,c1ccnc(c1)c2nc[nH]n2,spin-crossover,mixture,lig_215
ABUFOV,Cn1c2ccccc2nc1c3cccc(n3)c4[n-]c5ccccc5n4,low-spin,low-spin,lig_216
VOJPAM,CCCCn1cnnn1,spin-crossover,high-spin,lig_217
FEKYEA,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[n-]c5ccccc5n4,spin-crossover,low-spin,lig_218
FEKYEA,c1ccc2c(c1)[nH]c(n2)c3cccc(n3)c4[n-]c5ccccc5n4,spin-crossover,low-spin,lig_218
GAZQUT,c1ccc(cc1)C(n2cnc(c2)/C=N/CCN(CC/N=C/c3ncn(c3)C(c4ccccc4)(c5ccccc5)c6ccccc6)CC/N=C/c7ncn(c7)C(c8ccccc8)(c9ccccc9)c1ccccc1)(c1ccccc1)c1ccccc1,high-spin,high-spin,lig_219
