Unnamed: 0,smi,chg,coord_no,memo
ENUBAR_ligands0.mol2,c1[nH]c(nc1)/C=N/CCN(CC/N=C/c2ncc[nH]2)CC/N=C/c3ncc[nH]3,0,6,
ENUBAR02_ligands0.mol2,c1[nH]c(nc1)/C=N/CCN(CC/N=C/c2ncc[nH]2)CC/N=C/c3ncc[nH]3,0,6,
EYIJEB_ligands0.mol2,c1[nH]c(nc1)/C=N/CCN(CC/N=C/c2ncc[nH]2)CC/N=C/c3ncc[nH]3,0,6,
HIXFOK_ligands0.mol2,CCCCCCOc1cnc(cc1)/C=N/CCN(CC/N=C/c2ncc(cc2)OCCCCCC)CC/N=C/c3ncc(cc3)OCCCCCC,0,6,
FETPYR_ligands1.mol2,C(=[N-])=S,-1,1,
FETPYR_ligands0.mol2,c1ccncc1,0,1,
WIGBAP_ligands1.mol2,c1ccc(cc1)/C=C\c2ccncc2,0,1,
WIGBAP_ligands0.mol2,C(=[N-])=S,-1,1,
WIFZUG_ligands1.mol2,c1ccc(cc1)/C=C/c2ccncc2,0,1,
WIFZUG_ligands0.mol2,C(=[N-])=S,-1,1,
ULAHIY_ligands0.mol2,c1cnc[nH]1,0,1,
QAHPIY02_ligands0.mol2,c1cnoc1,0,1,
QAHPIY01_ligands0.mol2,c1cnoc1,0,1,
FEISXC01_ligands0.mol2,c1cnoc1,0,1,
JUVHIR01_ligands0.mol2,Cn1cnnn1,0,1,
JUVHIR03_ligands0.mol2,Cn1cnnn1,0,1,
JUVHEN_ligands0.mol2,Cn1cnnn1,0,1,
LAGJEK01_ligands0.mol2,Cn1cnnn1,0,1,
LAGJEK02_ligands0.mol2,Cn1cnnn1,0,1,
TUNBIN_ligands0.mol2,CCn1cnnn1,0,1,
RAKZIM_ligands0.mol2,c1nnnn1CCCl,0,1,
RAKZIM01_ligands0.mol2,c1nnnn1CCCl,0,1,
PEJQIF_ligands0.mol2,c1nnnn1CCCl,0,1,
PEJQIF01_ligands0.mol2,c1nnnn1CCCl,0,1,
YAGYIP01_ligands0.mol2,c1nnnn1CCBr,0,1,
YAGYIP_ligands0.mol2,c1nnnn1CCBr,0,1,
YAGYUB01_ligands0.mol2,c1nnnn1CCI,0,1,
YAGYUB_ligands0.mol2,c1nnnn1CCI,0,1,
JANSAS_ligands0.mol2,CCCn1cnnn1,0,1,
JANSAS06_ligands0.mol2,CCCn1cnnn1,0,1,
JUVGUC_ligands0.mol2,CCCn1cnnn1,0,1,
NEFVID_ligands0.mol2,CCCn1cnnn1,0,1,
YEQKIR_ligands0.mol2,CC(C)n1cnnn1,0,1,
APAFEH_ligands0.mol2,c1ccnc(c1)CN,0,2,
APAFEM01_ligands0.mol2,c1ccnc(c1)CN,0,2,
APAFEM05_ligands0.mol2,c1ccnc(c1)CN,0,2,
