ccdc_id,coord_no_1,coord_no_2,coord_no_3,coord_no_4,coord_no_5,coord_no_6
HOLTEK,2.0,0.0,0.0,1.0,0.0,0.0
HOLTOU,2.0,0.0,0.0,1.0,0.0,0.0
HOLTUA,2.0,0.0,0.0,1.0,0.0,0.0
HOMXIT,0.0,0.0,2.0,0.0,0.0,0.0
HOMXIT01,0.0,0.0,2.0,0.0,0.0,0.0
HOMXIT02,0.0,0.0,2.0,0.0,0.0,0.0
HOQFID,0.0,0.0,2.0,0.0,0.0,0.0
HPZBFE,0.0,0.0,2.0,0.0,0.0,0.0
IBIWUM,0.0,3.0,0.0,0.0,0.0,0.0
IBIXAT10,0.0,3.0,0.0,0.0,0.0,0.0
IBIXAT14,0.0,3.0,0.0,0.0,0.0,0.0
IBIXEX,0.0,3.0,0.0,0.0,0.0,0.0
IBIXIB,0.0,3.0,0.0,0.0,0.0,0.0
IGEDUU,0.0,0.0,2.0,0.0,0.0,0.0
ILACON,0.0,0.0,2.0,0.0,0.0,0.0
ILAWUP,0.0,0.0,2.0,0.0,0.0,0.0
IMAHIO,0.0,3.0,0.0,0.0,0.0,0.0
IMAHIO01,0.0,3.0,0.0,0.0,0.0,0.0
IQIJAT,0.0,1.0,0.0,1.0,0.0,0.0
IQIJAT02,0.0,1.0,0.0,1.0,0.0,0.0
ISULAJ,0.0,0.0,0.0,0.0,0.0,1.0
ITINOP,0.0,0.0,2.0,0.0,0.0,0.0
ITINOP03,0.0,0.0,2.0,0.0,0.0,0.0
IYUFOX,0.0,0.0,2.0,0.0,0.0,0.0
IYUFOX01,0.0,0.0,2.0,0.0,0.0,0.0
IZADEU,0.0,0.0,2.0,0.0,0.0,0.0
IZADEU01,0.0,0.0,2.0,0.0,0.0,0.0
IZADOE,0.0,0.0,2.0,0.0,0.0,0.0
IZADUK,0.0,0.0,2.0,0.0,0.0,0.0
IZADUK01,0.0,0.0,2.0,0.0,0.0,0.0
IZAFEW,0.0,0.0,2.0,0.0,0.0,0.0
IZAFEW03,0.0,0.0,2.0,0.0,0.0,0.0
IZAFIA,0.0,0.0,2.0,0.0,0.0,0.0
IZAFOG,0.0,0.0,2.0,0.0,0.0,0.0
IZAFOG01,0.0,0.0,2.0,0.0,0.0,0.0
IZAGAT,0.0,0.0,2.0,0.0,0.0,0.0
IZAGAT02,0.0,0.0,2.0,0.0,0.0,0.0
JAFBOI01,0.0,0.0,2.0,0.0,0.0,0.0
JAFBOI03,0.0,0.0,2.0,0.0,0.0,0.0
JAFBUO01,0.0,0.0,2.0,0.0,0.0,0.0
JAFBUO03,0.0,0.0,2.0,0.0,0.0,0.0
JAFCEZ,0.0,0.0,2.0,0.0,0.0,0.0
JAFCEZ01,0.0,0.0,2.0,0.0,0.0,0.0
JANSAS,6.0,0.0,0.0,0.0,0.0,0.0
JANSAS06,6.0,0.0,0.0,0.0,0.0,0.0
JAQQIB,1.0,0.0,0.0,0.0,1.0,0.0
JAQVIG,0.0,0.0,2.0,0.0,0.0,0.0
JAQVOM,0.0,0.0,2.0,0.0,0.0,0.0
JAQVUS,0.0,0.0,2.0,0.0,0.0,0.0
