ccdc_id,csd_density,csd_packing_coefficient,csd_void_percent,csd_hbonds_inter_count,csd_contacts_inter_total,csd_contacts_under_cutoff,csd_min_contact_distance
FEISXC01,2.479187131395383,0.6754390495867768,0.5320247933884298,0,4,4,2.421995407426506
FEKYEA,1.4697520115381175,0.7228354430379746,0.0,0,6,6,2.6411942314680177
FENFOW,1.671787990126495,0.737028740490279,0.8021978021978022,3,81,81,2.2802230883929724
FETPYR,1.381255004219658,0.7302464991932539,0.0,0,8,8,2.862037397254734
FIJTIC,1.3486984034064893,0.7025373064068163,0.0,0,10,10,2.8282163082289555
FIWXEP,1.288658092575208,0.6933293491562083,0.0,0,8,8,2.369565058679272
FIWXIT,1.1756519271217922,0.6936833119931711,2.4907017864764343,0,4,4,2.78443461608038
FIWXOZ02,2.583326624872092,0.687925675526922,0.0,0,10,10,2.368050069275538
FIWXOZ,2.7091552004652084,0.7158573216520651,0.0,0,20,20,2.311338909379697
FIWXOZ01,2.663953924488144,0.7097238727140688,0.0,0,16,16,2.2918925999226967
FOSBOG,1.4170805850608723,0.712785304687568,0.9223727604180264,8,129,128,1.8406271198998327
FOSCAT,1.1966891303109723,0.6318545743437899,26.196114672981768,6,88,88,1.8127017767469875
FOSCEX,1.1799098177032263,0.6077204208530569,19.210100140741712,7,47,47,1.8853816839455424
FOSCEX01,1.2698908448425408,0.6287988204850454,12.535140432775384,10,75,75,1.8491129606483296
FOSCOH,1.1593834256589532,0.5831068818364644,23.778224685665705,2,70,69,1.9147511314978465
FOYYAU,1.6457990269638851,0.7759470924273969,0.0,0,70,64,2.265735726267742
FOYYAU06,1.5877636193310258,0.7569900904207401,0.0,0,40,35,2.265191834972703
FOYYAU02,1.669743482893786,0.7446858886667368,0.0,0,65,64,2.286383925575009
GAKKOS03,1.5252431980389518,0.6991641617887465,2.5760691873648685,0,16,15,2.897516483022971
GAKKOS05,1.6045961510321611,0.71607219181293,2.9560589557280537,0,23,19,2.8227867110740306
GAKKOS04,1.6464948081915802,0.7613495211764234,0.0,0,15,14,2.553518985918904
GAPSUM,1.4711894772332466,0.7365554799183118,1.0726953530865966,0,46,45,2.171492078666279
GAPSUM01,1.2613618196431369,0.7385374806189285,0.6662517974735169,0,8,8,2.4186172496467924
GAPTAT,1.408919751444908,0.7069692655145327,1.1165390154490704,0,134,134,2.101840382896238
GAPTEX,1.5575121069172395,0.7517927234299517,0.0,0,50,49,2.31047894354032
GAPTIB,1.6556715891258484,0.8224597399498986,0.0,1,43,42,1.937986013612088
GAZQUT,1.5256825419356028,0.6918793593721639,2.1594827958755043,0,40,40,2.2198853379933854
NEMSAZ,1.4255528073539168,0.6920655428407366,0.0,4,39,39,1.7078297370195237
NEMSED,1.6476973402703443,0.6945736434108527,0.0,2,33,33,1.808899554938304
UJEDOC01,1.6024153275982531,0.7180566544529028,0.0,4,10,10,1.8400471632119852
UJEDOC,2.7295574302507006,0.7285767049201952,0.0,6,48,48,1.795707853503113
ILACON,1.5877614323756588,0.6897362816255308,0.7659821240498363,8,78,78,1.8527112522118383
LAQYIM,1.6187662767412174,0.7373310833984992,0.0,17,152,152,1.7347918177795656
HECCOJ01,1.4161322720896912,0.70386494818313,3.3675499584590494,16,78,78,1.8780193401673293
HECCOJ,1.4750202941795676,0.7418523429590341,2.8034664611571998,16,119,119,1.8399606880532124
NERDIA01,1.4253090274900229,0.6942528418496855,0.0,4,43,43,1.727820682161611
NERDIA,1.4790092133365174,0.7115105498796799,0.0,4,68,68,1.7115404560556955
SOJKUY,2.009400744163185,0.7326088726088726,0.0,4,60,54,1.943119547957568
VEVQOE,1.2691478279932693,0.7100481286450371,0.0,1,67,67,1.945265620645592
GIVZIV,1.450259065211335,0.7203390221189574,4.9643183138328775,5,99,99,1.88325188694388
GIVZAN,1.6289825834773115,0.7318094363548909,0.0,5,85,85,1.8814500492209316
GIVZER,1.6254164427076534,0.7346271153089335,0.362663430845249,11,164,164,1.7727208639703518
HOMXIT,1.453405143553254,0.7170342884628599,0.0,4,31,30,2.0134162977207306
HOMXIT01,1.4696448793856665,0.7221535078677935,0.0,4,40,39,1.797767321269223
HOMXIT02,1.5050839720935034,0.716821920405793,0.0,4,51,51,1.863649991482036
GOGDUB,1.8710437482584856,0.7409814119124709,12.625459249481992,2,29,29,1.8499754739094387
HAPDOU,1.4525439449813822,0.7304508742914947,0.0,0,36,35,2.086536749705416
HAXHIY,1.4898417966982191,0.7065070627336933,0.0,0,22,22,2.3203655981584688
HECBUO,1.54442106826504,0.7205424866300815,0.0,10,65,65,1.789601484428726
HECCEZ,1.3584974389883586,0.6499293606612686,7.2347334682861,8,45,43,1.8650606031342905
HECCID,1.379864029009694,0.6795339412360689,3.997421018697615,7,55,54,1.8155831154367652
ITINOP,1.5045374182556537,0.7481133721564265,0.0,10,63,63,1.883109694417756
ITINOP03,1.519771480160243,0.7311718903356671,0.0,9,84,84,1.8839572042069568
VISCAD,1.493917841622599,0.7617677695840861,0.5955288808244353,9,61,61,1.9027166686781865
