ccdc_id,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,ion_1,ion_2,ion_3,ion_4,ion_5,ion_6,ion_7,ion_8,ion_9,ion_10,ion_11,ion_12,ion_13,ion_14,ion_15,ion_16,ion_17,ion_18,ion_19,ion_20,ion_21,ion_22,ion_23,ion_24,ion_25,ion_26,ion_27,ion_28,ion_29,ion_30,ion_31,solv_1,solv_2,solv_3,solv_4,solv_5,solv_6,solv_7,solv_8,solv_9,solv_10,solv_11,solv_12,solv_13,solv_14,solv_15,solv_16,solv_17,solv_18,solv_19,solv_20,solv_21
XENBEX06,3.3489,33.3792,59.5848,72.102,676.0,1092.0,1976.0,1976.0,12.0,16.0,108.0,216.0,240.0,1.5625,5.625,11.45,13.4,325.9399,798.7952,1533.7104,2146.8152,1976.0,5288.0,9766.0,11808.0,51.0,120.0,222.0,316.0,342.0,972.0,1782.0,2316.0,22.6955,63.4592,115.9822,154.1444,-7.26,-10.6,-10.12,114.0,236.0,340.0,18.0,36.0,56.0,3.0,5.84,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XENBEX07,3.3489,33.3792,59.5848,72.102,676.0,1092.0,1976.0,1976.0,12.0,16.0,108.0,216.0,240.0,1.5625,5.625,11.45,13.4,325.9399,798.7952,1533.7104,2146.8152,1976.0,5288.0,9766.0,11808.0,51.0,120.0,222.0,316.0,342.0,972.0,1782.0,2316.0,22.6955,63.4592,115.9822,154.1444,-7.26,-10.6,-10.12,114.0,236.0,340.0,18.0,36.0,56.0,3.0,5.84,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEVYUS,3.3489,33.3792,61.3782,89.487,676.0,1092.0,2028.0,2340.0,12.0,20.0,108.0,216.0,300.0,1.5625,5.625,11.4,16.25,341.0981,837.1896,1642.1316,2327.418,2004.0,5388.0,10038.0,12744.0,53.0,124.0,234.0,340.0,358.0,1024.0,1890.0,2544.0,22.9085,64.4156,118.9698,162.6004,-7.26,-11.58,-12.3,114.0,234.0,430.0,18.0,36.0,70.0,3.0,5.88,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XOCFIF,3.3489,33.3792,59.5848,72.102,676.0,1092.0,1976.0,1976.0,12.0,16.0,108.0,216.0,240.0,1.5625,5.625,11.45,13.4,551.0499,1281.2552,2281.4172,3053.4212,3348.0,7832.0,13722.0,15584.0,87.0,196.0,342.0,460.0,538.0,1444.0,2402.0,2988.0,39.3429,102.5444,173.3638,220.4352,-7.26,-10.6,-10.12,114.0,236.0,340.0,18.0,36.0,56.0,3.0,5.84,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XODCEB,3.3489,33.3792,57.7914,75.1764,676.0,1092.0,1924.0,2288.0,12.0,16.0,108.0,216.0,252.0,1.5625,5.625,11.5,14.35,504.3899,1216.4708,2208.8072,3055.0452,2706.0,7088.0,12478.0,15724.0,81.0,188.0,334.0,468.0,522.0,1440.0,2502.0,3200.0,35.9225,97.7084,170.2542,222.2028,-7.26,-9.62,-11.8,114.0,238.0,328.0,18.0,36.0,54.0,3.0,5.8,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUGGEO,3.3489,33.3792,54.717,69.54,676.0,1092.0,1612.0,2912.0,12.0,16.0,108.0,204.0,180.0,1.5625,5.625,10.55,12.375,318.0135,729.4804,1474.156,2329.117,4026.0,5284.0,8578.0,12410.0,53.0,116.0,230.0,376.0,346.0,1000.0,1798.0,2362.0,22.7723,58.9912,106.6738,154.7188,-7.26,-7.94,-8.72,114.0,250.0,304.0,18.0,38.0,66.0,3.0,6.56,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUGGEO01,3.3489,33.3792,54.717,69.54,676.0,1092.0,1612.0,2912.0,12.0,16.0,108.0,204.0,180.0,1.5625,5.625,10.55,12.375,318.0135,729.4804,1474.156,2329.117,4026.0,5284.0,8578.0,12410.0,53.0,116.0,230.0,376.0,346.0,1000.0,1798.0,2362.0,22.7723,58.9912,106.6738,154.7188,-7.26,-7.94,-8.72,114.0,250.0,304.0,18.0,38.0,66.0,3.0,6.56,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUGGEO02,3.3489,33.3792,54.717,69.54,676.0,1092.0,1612.0,2912.0,12.0,16.0,108.0,204.0,180.0,1.5625,5.625,10.55,12.375,318.0135,729.4804,1474.156,2329.117,4026.0,5284.0,8578.0,12410.0,53.0,116.0,230.0,376.0,346.0,1000.0,1798.0,2362.0,22.7723,58.9912,106.6738,154.7188,-7.26,-7.94,-8.72,114.0,250.0,304.0,18.0,38.0,66.0,3.0,6.56,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUGGEO03,3.3489,33.3792,54.717,69.54,676.0,1092.0,1612.0,2912.0,12.0,16.0,108.0,204.0,180.0,1.5625,5.625,10.55,12.375,318.0135,729.4804,1474.156,2329.117,4026.0,5284.0,8578.0,12410.0,53.0,116.0,230.0,376.0,346.0,1000.0,1798.0,2362.0,22.7723,58.9912,106.6738,154.7188,-7.26,-7.94,-8.72,114.0,250.0,304.0,18.0,38.0,66.0,3.0,6.56,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XUGGIS,3.3489,33.3792,54.717,69.54,676.0,1092.0,1612.0,2912.0,12.0,16.0,108.0,204.0,180.0,1.5625,5.625,10.55,12.375,318.0135,729.4804,1474.156,2329.117,4026.0,5284.0,8578.0,12410.0,53.0,116.0,230.0,376.0,346.0,1000.0,1798.0,2362.0,22.7723,58.9912,106.6738,154.7188,-7.26,-7.94,-8.72,114.0,250.0,304.0,18.0,38.0,66.0,3.0,6.56,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
