ccdc_id,The zeta parameter,The delta parameter,The sigma parameter,The theta parameter,Mean M-L BL 
WATJEJ01,0.078088,0.000049,59.342687,167.757372,1.967029
WEKJED,0.250768,0.000650,71.753073,240.635830,1.958742
WEKJIH,0.296127,0.000879,72.149619,237.930972,1.967437
WIDGEW,0.238693,0.000347,71.878437,200.419016,2.161705
WIDGIA,0.114315,0.000102,89.106576,287.988324,2.189008
WIDGOG,0.055470,0.000021,87.737985,277.546032,2.189154
WIFZUG,0.296880,0.000605,23.749188,78.012032,2.179628
WIGBAP,0.484599,0.001527,16.020488,55.214156,2.192845
XADFEN,0.222957,0.000479,83.873758,286.509206,1.956365
XAMNII,0.016612,0.000002,29.449522,69.115025,1.958248
XAMNII01,0.025464,0.000005,28.603760,68.421753,1.968183
XECMIB01,0.371900,0.001128,90.859860,241.781389,2.172454
XECMIB02,0.200216,0.000323,57.648147,158.652959,2.021948
XECNAU,0.088008,0.000071,46.339370,134.594081,1.967120
XECNAU01,0.411812,0.001417,82.687502,219.132590,2.160365
XEFDER02,0.065835,0.000031,67.046572,148.190418,2.163603
XEFDER06,0.064642,0.000034,65.994967,147.666309,2.176401
XENBEX06,0.155550,0.000167,150.758407,496.604508,2.178685
XENBEX07,0.203188,0.000348,86.144618,281.448131,1.958329
XEVYUS,0.022846,0.000005,30.713954,72.862644,1.972308
XOCFIF,0.212207,0.000382,87.224730,289.800239,1.943251
XODCEB,0.135569,0.000165,87.511599,276.707092,1.950144
XUGGEO,0.297929,0.000647,85.870479,248.793507,2.174042
XUGGEO01,0.296509,0.000592,86.037273,248.675630,2.181393
XUGGEO02,0.160813,0.000260,55.949733,166.489082,1.985620
XUGGEO03,0.131596,0.000172,55.849131,163.578775,1.985911
XUGGIS,0.148426,0.000233,55.541816,164.269690,1.987301
XUGGIS01,0.318515,0.000677,85.407144,247.122673,2.181438
XUGGIS02,0.161856,0.000260,55.490580,165.846706,1.986070
XUGGUE,0.328381,0.000766,88.423802,294.674503,2.182910
XUGHAL,0.292143,0.000598,85.973412,249.925658,2.176914
YAGYIP,0.315693,0.000756,57.935564,149.072133,2.049275
YAGYIP01,0.014726,0.000002,21.184901,54.021447,2.222678
YAGYUB,0.361771,0.001308,12.834298,47.684130,1.962940
YAGYUB01,0.044381,0.000013,4.584947,13.618011,2.211393
YAMXAL,0.079857,0.000066,71.216034,264.828955,2.005421
YECMAW,0.026277,0.000007,24.919195,65.939809,2.000997
YELWOC,0.113719,0.000090,83.423665,280.260831,2.200892
YELWOC01,0.071300,0.000046,71.602212,226.933840,2.090901
YELWUI,0.091888,0.000053,83.161441,279.434135,2.190356
YELWUI02,0.071856,0.000055,68.356122,201.352403,1.969031
YELXAP,0.171959,0.000175,82.863076,282.920570,2.202186
YELXET,0.077980,0.000039,83.818361,277.979462,2.189095
YELXET01,0.030655,0.000010,62.547410,186.049212,2.006921
YEQKIR,0.059558,0.000028,9.586238,24.435143,2.179448
YIMYEZ,0.048276,0.000020,23.405623,57.146834,1.980332
YIMYEZ01,0.048844,0.000024,24.721912,60.589687,1.975744
YIMYEZ02,0.064363,0.000051,66.331523,155.757446,2.141979
YIMYID02,0.057223,0.000028,34.348117,86.227973,2.017959
YIMYID04,0.084009,0.000052,70.681131,168.566512,2.172782
YIMYOJ,0.113222,0.000100,24.347045,60.538218,1.966640
YIVSEB,0.241664,0.000409,86.910744,277.885108,2.191015
YUJBUB,0.058454,0.000028,26.027195,66.024651,1.992673
YUJBUB01,0.107252,0.000082,63.403988,145.628521,2.145229
YUYHOR,0.146288,0.000211,34.471389,87.045059,1.974619
YUYHOR01,0.161388,0.000194,51.331769,145.675101,2.060212
YUZTIX,0.221366,0.000412,89.213884,286.932259,1.941668
YUZTOD,0.203580,0.000344,87.127411,282.924843,1.944115
YUZTUJ,0.215491,0.000398,86.562613,309.611956,1.945478
ZEQMEP02,0.121720,0.000098,77.470622,171.070531,2.178100
ZIKKUC,0.184212,0.000284,113.684539,400.644020,2.065766
ZIKKUC04,0.298686,0.000962,126.401814,434.386108,2.133374
ZIKMAK05,0.199145,0.000385,86.780167,300.338427,1.950386
ZIKMAK09,0.280614,0.000824,112.566728,389.806621,2.047925
ZIMMAJ,0.198902,0.000327,115.991823,413.539850,2.222213
ZOKBOQ,0.016081,0.000002,60.103345,238.233666,2.181574
ZOYKUV,0.125378,0.000148,53.935096,181.373058,1.990745
ZOYKUV01,0.133093,0.000120,69.954405,264.951152,2.165174
ZUBNAO,0.066222,0.000035,39.135627,118.563372,1.971618
ZUBNAO01,0.302913,0.000648,74.732797,193.082010,2.118194
ZUBNES,0.256415,0.000492,69.979129,183.895543,2.123974
ZUBNIW01,0.066798,0.000037,37.894313,109.608267,1.964939
ZUBNOC,0.312127,0.000645,81.627661,243.284258,2.172613
ZUCROE,0.196754,0.000395,58.231872,182.000047,1.974959
ZUCROE01,0.158253,0.000233,64.297031,235.481542,2.117791
