ccdc_id,The zeta parameter,The delta parameter,The sigma parameter,The theta parameter,Mean M-L BL 
FIWXOZ02,0.129492,0.000140,33.026310,80.707910,2.139771
FOSBOG,0.195530,0.000284,150.141878,500.967430,2.180796
FOSCAT,0.137033,0.000159,120.170807,397.473210,2.067127
FOSCEX,0.174847,0.000243,135.613680,460.568131,2.138344
FOSCEX01,0.167481,0.000228,127.204200,430.382403,2.078905
FOSCOH,0.210969,0.000383,121.457742,414.598824,2.051659
FOYYAU,0.173714,0.000302,169.083312,631.117013,2.168340
FOYYAU02,0.214020,0.000382,87.292493,289.173684,1.950528
FOYYAU06,0.174009,0.000220,147.317630,497.552116,2.149160
GAKKOS03,0.380340,0.001041,78.727139,289.231841,2.159135
GAKKOS04,0.344027,0.000806,85.339750,329.545467,2.168456
GAKKOS05,0.049826,0.000023,52.907047,161.208116,1.951532
GAPSIA,0.091484,0.000061,186.684734,775.673402,2.185593
GAPSOG,0.103252,0.000085,198.851289,805.782811,2.196910
GAPSUM,0.262290,0.000502,177.324912,529.478309,2.190624
GAPSUM01,0.276558,0.000502,176.870237,528.941958,2.183140
GAPTAT,0.186533,0.000268,150.589006,498.996125,2.175344
GAPTEX,0.314207,0.000747,152.356724,495.115973,2.199473
GAPTIB,0.199672,0.000443,166.280828,580.987563,2.181872
GAZQUT,0.199247,0.000350,100.297988,284.225824,2.199095
GIVZAN,0.199509,0.000376,90.668915,303.731068,1.966337
GIVZER,0.135022,0.000140,123.472573,424.566814,2.075234
GIVZIV,0.160135,0.000158,157.785355,581.894740,2.177263
GOGDUB,0.121193,0.000130,30.809557,113.952414,1.975390
HAPDOU,0.418085,0.001124,125.678009,462.962645,2.216946
HAXHIY,0.192944,0.000473,56.284409,145.351845,1.995991
HECBUO,0.212558,0.000326,152.638040,493.052805,2.188507
HECCEZ,0.151047,0.000181,174.940838,688.608376,2.179327
HECCID,0.114597,0.000093,171.200518,649.830143,2.163149
HECCOJ,0.115747,0.000111,121.543568,420.081179,2.056802
HECCOJ01,0.155063,0.000179,146.405623,501.049211,2.168225
HIXDOK,0.182188,0.000271,94.512412,314.206326,1.957308
HIXDOK01,0.116689,0.000094,141.897744,467.750617,2.152990
HIXFOK,0.059201,0.000031,67.610627,194.444840,1.963903
HIXFUQ,0.406596,0.001177,85.555548,231.154877,2.006708
HIXFUQ01,0.626467,0.002238,116.549765,347.680515,2.234228
HMPBFE,0.099827,0.000070,41.017813,92.552336,2.171361
HOLSIN,0.584851,0.002755,85.702664,247.061168,2.221086
HOLSOT,0.244839,0.000559,51.838952,177.945651,2.001467
HOLSUZ,0.413218,0.001464,77.227929,252.902636,2.169624
HOLTAG,0.513840,0.002032,85.401845,238.916371,2.211733
HOLTEK,0.327885,0.000937,75.866503,239.435508,2.181558
HOLTOU,0.384399,0.001192,79.857368,249.618690,2.178204
HOLTUA,0.422755,0.001466,79.723938,253.803420,2.175016
HOMXIT,0.165836,0.000190,145.672490,466.445725,2.162058
HOMXIT01,0.162055,0.000202,128.988859,410.002967,2.077733
HOMXIT02,0.139290,0.000167,97.350618,316.331376,1.960826
HOQFID,0.041302,0.000014,6.087382,16.226371,1.984656
HPZBFE,0.018705,0.000003,20.860409,47.923538,1.974874
IBIWUM,0.081702,0.000048,103.721683,313.857374,2.197293
IBIXAT10,0.064386,0.000036,86.649930,262.720015,2.130030
IBIXAT14,0.098542,0.000102,58.089053,181.332440,2.000520
IBIXEX,0.088043,0.000066,100.888089,308.566025,2.187118
IBIXIB,0.110341,0.000081,105.104326,328.155237,2.200385
IGEDUU,0.188972,0.000299,86.790713,302.538026,1.943935
ILACON,0.137080,0.000195,92.075097,305.931504,1.955404
ILAWUP,0.156701,0.000198,143.011732,451.018635,2.164088
IMAHIO,0.088107,0.000086,72.717449,213.397413,1.983634
IMAHIO01,0.080639,0.000069,89.482254,285.259970,2.118750
IQIJAT,0.166970,0.000281,40.385961,125.920093,2.022172
IQIJAT02,0.174699,0.000209,63.162075,187.229861,2.198799
ISULAJ,0.265800,0.000408,112.344953,335.433712,2.203168
ITINOP,0.164716,0.000210,145.734518,469.225393,2.166422
ITINOP03,0.142119,0.000168,100.136524,317.577572,1.967120
IYUFOX,0.204808,0.000345,91.148525,300.457881,1.961389
IYUFOX01,0.154424,0.000168,146.343680,460.865388,2.142267
IZADEU,0.301599,0.000704,134.928875,451.409789,2.170279
IZADEU01,0.288998,0.000656,117.423918,391.211728,2.086892
IZADOE,0.333408,0.000843,140.171962,465.754980,2.197249
IZADUK,0.306953,0.000754,90.174333,290.681130,1.980449
IZADUK01,0.302832,0.000615,135.259876,426.161010,2.165340
IZAFEW,0.203696,0.000347,90.154502,291.737558,1.948959
IZAFEW03,0.218239,0.000361,130.414809,417.820837,2.118235
IZAFIA,0.206497,0.000355,92.225008,298.906428,1.957524
IZAFOG,0.190901,0.000308,96.288299,321.749680,1.984014
IZAFOG01,0.208386,0.000296,143.506448,474.346450,2.164505
IZAGAT,0.163153,0.000221,92.255221,292.809152,1.953288
IZAGAT02,0.143404,0.000193,117.203906,372.319681,2.049101
JAFBOI01,0.160348,0.000172,150.137540,471.349518,2.164087
JAFBOI03,0.295568,0.000702,94.032855,298.621589,1.972392
JAFBUO01,0.156075,0.000161,155.902512,490.023454,2.174519
JAFBUO03,0.302139,0.000721,96.171764,304.627636,1.988535
JAFCEZ,0.174964,0.000209,153.648731,519.768308,2.162602
JAFCEZ01,0.243456,0.000498,91.532189,304.415246,1.954275
JANSAS,0.000169,0.000000,13.029313,30.479707,2.151494
JANSAS06,0.000033,0.000000,8.049464,18.738525,1.991583
JAQQIB,0.127521,0.000120,60.302065,140.710733,1.981960
JAQVIG,0.172617,0.000263,81.568286,279.246113,1.952076
JAQVOM,0.109458,0.000122,78.053005,258.702244,1.931072
JAQVUS,0.206686,0.000387,78.688835,265.764968,1.951014
JAQWAZ,0.234520,0.000472,82.682511,270.712957,1.956750
JIQDAP,0.278584,0.000451,111.521891,337.259987,2.201428
JIQDET,0.175647,0.000181,90.079118,298.584703,2.217090
JIQDET04,0.023006,0.000006,65.152049,212.396496,2.013720
JOJQEE,0.415800,0.001150,154.805233,633.370307,2.205287
JUVGUC,0.000051,0.000000,6.434557,14.956937,2.164807
JUVHEN,0.056255,0.000041,8.887783,23.263282,2.184391
JUVHIR01,0.103039,0.000091,9.153882,30.022336,2.178159
JUVHIR03,0.028543,0.000008,6.951583,20.165970,2.089268
KABYER,0.021739,0.000004,72.444644,236.203299,2.063376
KALWUR,0.118977,0.000109,123.136141,389.936589,2.081744
KALXAY,0.129644,0.000129,110.897345,350.546546,2.016411
KALXAY01,0.165961,0.000186,141.695561,444.373717,2.150490
KEKVIF,0.393701,0.001049,62.034477,250.878487,2.155850
KEKVIF01,0.137929,0.000153,37.463764,135.916877,1.991868
KEZPEK,0.028134,0.000008,75.229827,252.645164,1.991840
KEZPIO,0.111833,0.000127,80.002162,283.655639,2.006240
KEZPIO01,0.185424,0.000301,92.037907,339.662222,2.059538
KIFLOD,0.120364,0.000107,68.761885,196.229871,2.059983
KIFLUJ,0.205870,0.000340,73.820122,202.619918,2.050834
KIFMAQ,0.156785,0.000197,75.913976,219.922631,2.086112
KIFMAQ01,0.053459,0.000022,95.947395,281.244018,2.197275
KOKKUR,0.440507,0.001416,103.926311,355.226667,2.148607
KOKKUR02,0.352864,0.001105,58.287061,194.738522,1.965029
KUHRUC,0.051055,0.000023,104.575619,454.096933,2.160565
KULTAO04,0.256967,0.000554,67.647751,222.787600,2.153749
KULTAO05,0.105947,0.000092,36.522491,111.948817,1.957683
LAGJEK01,0.053012,0.000024,11.590402,29.228048,2.184666
LAGJEK02,0.060366,0.000057,14.244075,39.467606,2.119237
LAQYIM,0.128307,0.000126,121.482920,420.955130,2.066207
LARZAF,0.142364,0.000133,137.618357,433.022712,2.178991
LAYQUY,0.253360,0.000554,76.060239,220.680456,2.161158
LAYRAF,0.352025,0.000867,66.654104,237.719067,2.170162
LAYREJ01,0.295884,0.000612,78.240567,270.553386,2.163926
LINRAC,0.350655,0.001278,128.297982,456.380046,2.187924
LOQPAI,0.727466,0.004423,97.313478,264.268252,2.184342
LUWSUS,0.211697,0.000401,70.041177,180.981923,2.043769
LUWSUS01,0.322329,0.000791,96.212375,243.327287,2.167958
LUWSUS02,0.202331,0.000578,78.171073,192.142872,2.065930
LUWSUS03,0.344828,0.001103,98.399673,239.255866,2.161239
LUWSUS04,0.084411,0.000070,47.317856,122.741380,1.957333
LUWSUS05,0.245697,0.000603,76.738505,190.025912,2.074513
LUWSUS06,0.371630,0.001108,95.642350,232.973718,2.150429
LUWSUS07,0.073523,0.000058,42.080875,110.228080,1.962676
LUWSUS09,0.287777,0.000763,86.589401,220.045394,2.145199
LUWTED,0.061683,0.000052,41.815057,108.313826,1.959407
LUWTED01,0.211559,0.000509,72.702277,184.945973,2.080338
LUWTED02,0.288770,0.000773,87.132526,218.000347,2.140887
LUXMOH,0.164224,0.000200,168.570848,515.370541,2.169506
LUXMOH01,0.185937,0.000298,94.039887,295.068404,1.947450
MALJEP,0.043396,0.000020,20.402724,47.967117,1.963585
MALJIT,0.186844,0.000229,48.479184,114.309319,2.183294
MALJIT01,0.208274,0.000291,44.759333,109.749866,2.175293
MALJIT03,0.101178,0.000085,4.204284,15.704500,1.991878
MALJOZ,0.101229,0.000090,44.847255,110.284269,2.162316
MALJOZ01,0.048087,0.000020,6.076692,18.151748,1.992566
MEGDEH,0.315808,0.000840,99.759173,306.515517,1.947121
MELLOF,0.182675,0.000343,63.460352,184.857461,2.060596
MELLOF01,0.220085,0.000409,79.794539,244.016265,2.096506
MELLOF02,0.157444,0.000191,87.862608,270.672304,2.200523
MEQVEM,0.280150,0.000621,82.801922,272.121625,1.995400
MEQVEM02,0.261140,0.000465,129.482081,419.002464,2.173753
MEQXIS,0.285362,0.000661,77.916344,259.668063,1.980523
MEQXIS01,0.243516,0.000407,123.044234,382.706000,2.134879
MIFRIF,0.324737,0.000787,88.413131,280.855013,2.174356
MIFROL,0.170073,0.000298,60.473115,175.106401,1.976749
MIFROL01,0.306009,0.000663,86.911663,272.423538,2.170415
MIFSAY,0.163118,0.000242,42.734688,110.492717,1.973428
MIFSEC,0.244789,0.000445,89.539361,277.290561,2.174997
MIWJUZ,0.281667,0.000554,79.783388,307.377627,2.192034
MOFRAA,0.089421,0.000067,65.334272,147.495478,2.177321
MOFREE,0.042388,0.000012,65.550915,145.009321,2.167429
NAVYEP,0.098443,0.000066,80.838641,261.734131,2.194536
NAVYEP01,0.111265,0.000144,63.030823,196.126734,2.022309
NEFSIA01,0.286356,0.000761,92.044920,223.083104,2.174805
NEFSIA02,0.109774,0.000125,46.447024,117.662183,1.978392
NEFVID,0.029229,0.000006,7.546096,25.260536,2.190935
NEMSAZ,0.151284,0.000161,146.926162,480.755651,2.156400
NEMSED,0.151123,0.000163,147.062704,471.809745,2.165602
NERDIA,0.141286,0.000168,93.366458,299.556650,1.954376
NERDIA01,0.163907,0.000217,138.026761,437.378081,2.144555
NESVOX,0.184388,0.000281,147.371994,464.516024,2.152622
NESVOX02,0.152616,0.000176,145.339127,467.427912,2.149947
NESVUD,0.110631,0.000081,157.110906,496.685396,2.170658
NESVUD01,0.188352,0.000326,88.603092,298.654898,1.947322
NESWAK,0.211112,0.000371,84.257729,280.166156,1.942355
NETBUJ,0.302606,0.000754,86.672282,287.132563,1.950307
NICSEA,0.083350,0.000052,59.266865,176.330220,1.959110
NIGXUY01,0.070781,0.000033,3.960387,12.146586,2.191392
NIGXUY02,0.068155,0.000031,6.710615,22.547486,2.189012
NIQFUP,0.387986,0.001041,83.842008,231.121066,2.014559
NIQFUP11,0.521101,0.001566,111.006538,336.652433,2.216018
NIXWEZ,0.144289,0.000187,103.887062,369.497126,2.064849
